rank_date,rank,country_abrv,cur_year_avg_weighted,two_year_ago_weighted,three_year_ago_weighted,weighted_points
2018-06-07,5.0,ARG,404.07,248.99,183.59,836.65
2018-06-07,36.0,AUS,366.6,98.16,59.79,524.55
2018-06-07,3.0,BEL,629.98,158.94,186.58,975.5000000000001
2018-06-07,2.0,BRA,558.95,168.06,162.38,889.39
2018-06-07,16.0,COL,292.09,199.73,166.38,658.1999999999999
2018-06-07,23.0,CRC,410.9,99.73,133.11,643.74
2018-06-07,20.0,CRO,397.75,100.79,110.25,608.79
2018-06-07,12.0,DEN,723.72,90.07,80.21,894.0
2018-06-07,45.0,EGY,208.27,99.48,50.64,358.39
2018-06-07,12.0,ENG,476.42,174.15,103.52,754.09
2018-06-07,7.0,FRA,520.12,118.09,131.54,769.75
2018-06-07,1.0,GER,775.06,127.28,240.15,1142.49
2018-06-07,22.0,ISL,438.64,90.61,96.64,625.89
2018-06-07,37.0,IRN,290.29,92.4,79.64,462.33000000000004
2018-06-07,61.0,JPN,164.51,81.97,67.78,314.26
2018-06-07,57.0,KOR,162.13,91.79,65.96,319.88
2018-06-07,15.0,MEX,470.55,173.99,91.51,736.05
2018-06-07,41.0,MAR,369.1,110.03,34.09,513.22
2018-06-07,48.0,NGA,251.21,59.46,70.0,380.67
2018-06-07,55.0,PAN,276.92,97.89,41.86,416.67
2018-06-07,11.0,PER,560.36,126.58,44.4,731.34
2018-06-07,8.0,POL,499.9,112.55,121.69,734.1399999999999
2018-06-07,4.0,POR,646.92,155.33,125.53,927.78
2018-06-07,70.0,RUS,166.07,108.68,73.7,348.45
2018-06-07,67.0,KSA,143.89,114.27,27.02,285.17999999999995
2018-06-07,27.0,SEN,368.23,84.09,116.99,569.3100000000001
2018-06-07,34.0,SRB,417.12,91.57,38.5,547.19
2018-06-07,10.0,ESP,537.05,193.92,88.8,819.7699999999999
2018-06-07,24.0,SWE,478.44,111.03,74.44,663.9100000000001
2018-06-07,6.0,SUI,578.59,101.43,114.42,794.4399999999999
2018-06-07,21.0,TUN,545.56,68.28,98.68,712.52
2018-06-07,14.0,URU,486.28,168.44,119.85,774.57
